R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 50.000, 100.000, 6431.000, 1357.000, 45310.000
70.000, 1.000, 50.000, 200.000, 6431.000, 1357.000, 45310.000
70.000, 1.000, 50.000, 700.000, 4776.000, 739.000, 46965.000
70.000, 1.000, 55.000, 1.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 50.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 80.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 85.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 100.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 200.000, 6413.000, 1312.000, 45328.000
70.000, 1.000, 55.000, 700.000, 4762.000, 710.000, 46979.000
70.000, 1.000, 60.000, 1.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 50.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 80.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 85.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 100.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 200.000, 6388.000, 1258.000, 45353.000
70.000, 1.000, 60.000, 700.000, 4746.000, 688.000, 46995.000
70.000, 1.000, 65.000, 1.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 50.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 80.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 85.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 100.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 200.000, 6365.000, 1218.000, 45376.000
70.000, 1.000, 65.000, 700.000, 4732.000, 669.000, 47009.000
70.000, 1.000, 70.000, 1.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 50.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 80.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 85.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 100.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 200.000, 6341.000, 1166.000, 45400.000
70.000, 1.000, 70.000, 700.000, 4713.000, 644.000, 47028.000
70.000, 1.000, 75.000, 1.000, 6306.000, 1099.000, 45435.000
