R_i_min,beta_legs,model_confidence_threshold,TP,FP,FN
70.000, 1.000, 0.000, 464.000, 2815.000, 125.000
70.000, 1.000, 5.000, 464.000, 1138.000, 125.000
70.000, 1.000, 10.000, 463.000, 763.000, 126.000
70.000, 1.000, 15.000, 463.000, 620.000, 126.000
70.000, 1.000, 20.000, 463.000, 545.000, 126.000
70.000, 1.000, 25.000, 463.000, 492.000, 126.000
70.000, 1.000, 30.000, 463.000, 454.000, 126.000
70.000, 1.000, 35.000, 463.000, 428.000, 126.000
70.000, 1.000, 40.000, 463.000, 398.000, 126.000
70.000, 1.000, 45.000, 461.000, 379.000, 128.000
70.000, 1.000, 50.000, 460.000, 361.000, 129.000
70.000, 1.000, 55.000, 460.000, 338.000, 129.000
70.000, 1.000, 60.000, 460.000, 321.000, 129.000
70.000, 1.000, 65.000, 460.000, 298.000, 129.000
70.000, 1.000, 70.000, 460.000, 281.000, 129.000
70.000, 1.000, 75.000, 458.000, 259.000, 131.000
70.000, 1.000, 80.000, 457.000, 235.000, 132.000
70.000, 1.000, 85.000, 455.000, 210.000, 134.000
70.000, 1.000, 90.000, 453.000, 185.000, 136.000
70.000, 1.000, 95.000, 442.000, 146.000, 147.000
70.000, 1.000, 100.000, 72.000, 7.000, 517.000
