R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 10.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 20.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 30.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 40.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 50.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 60.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 70.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 75.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 80.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 85.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 90.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 100.000, 153.000, 51.000, 436.000
70.000, 1.000, 0.000, 200.000, 150.000, 51.000, 439.000
70.000, 1.000, 0.000, 700.000, 54.000, 16.000, 535.000
70.000, 1.000, 5.000, 1.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 10.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 20.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 30.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 40.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 50.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 60.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 70.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 75.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 80.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 85.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 90.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 100.000, 153.000, 35.000, 436.000
70.000, 1.000, 5.000, 200.000, 150.000, 35.000, 439.000
70.000, 1.000, 5.000, 700.000, 54.000, 14.000, 535.000
70.000, 1.000, 10.000, 1.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 10.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 20.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 30.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 40.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 50.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 60.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 70.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 75.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 80.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 85.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 90.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 100.000, 153.000, 31.000, 436.000
70.000, 1.000, 10.000, 200.000, 150.000, 31.000, 439.000
70.000, 1.000, 10.000, 700.000, 54.000, 13.000, 535.000
70.000, 1.000, 15.000, 1.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 10.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 20.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 30.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 40.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 50.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 60.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 70.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 75.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 80.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 85.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 90.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 100.000, 153.000, 29.000, 436.000
70.000, 1.000, 15.000, 200.000, 150.000, 29.000, 439.000
