R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 0.000, 1.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 10.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 20.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 30.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 40.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 50.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 60.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 70.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 75.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 80.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 85.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 90.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 100.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 200.000, 144.000, 45.000, 445.000
70.000, 1.000, 0.000, 700.000, 33.000, 13.000, 556.000
70.000, 1.000, 5.000, 1.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 10.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 20.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 30.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 40.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 50.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 60.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 70.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 75.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 80.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 85.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 90.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 100.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 200.000, 144.000, 31.000, 445.000
70.000, 1.000, 5.000, 700.000, 33.000, 11.000, 556.000
70.000, 1.000, 10.000, 1.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 10.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 20.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 30.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 40.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 50.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 60.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 70.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 75.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 80.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 85.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 90.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 100.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 200.000, 144.000, 29.000, 445.000
70.000, 1.000, 10.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 15.000, 1.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 10.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 20.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 30.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 40.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 50.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 60.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 70.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 75.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 80.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 85.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 90.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 100.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 200.000, 144.000, 27.000, 445.000
70.000, 1.000, 15.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 20.000, 1.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 10.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 20.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 30.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 40.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 50.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 60.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 70.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 75.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 80.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 85.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 90.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 100.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 200.000, 144.000, 27.000, 445.000
70.000, 1.000, 20.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 25.000, 1.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 10.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 20.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 30.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 40.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 50.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 60.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 70.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 75.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 80.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 85.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 90.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 100.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 200.000, 144.000, 26.000, 445.000
70.000, 1.000, 25.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 30.000, 1.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 10.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 20.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 30.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 40.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 50.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 60.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 70.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 75.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 80.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 85.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 90.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 100.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 200.000, 144.000, 26.000, 445.000
70.000, 1.000, 30.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 35.000, 1.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 10.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 20.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 30.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 40.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 50.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 60.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 70.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 75.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 80.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 85.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 90.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 100.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 200.000, 144.000, 26.000, 445.000
70.000, 1.000, 35.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 40.000, 1.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 10.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 20.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 30.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 40.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 50.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 60.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 70.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 75.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 80.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 85.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 90.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 100.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 200.000, 144.000, 26.000, 445.000
70.000, 1.000, 40.000, 700.000, 33.000, 10.000, 556.000
70.000, 1.000, 45.000, 1.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 10.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 20.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 30.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 40.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 50.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 60.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 70.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 75.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 80.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 85.000, 144.000, 26.000, 445.000
70.000, 1.000, 45.000, 90.000, 144.000, 26.000, 445.000
