R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 25.000, 85.000, 18166.000, 11681.000, 33575.000
70.000, 1.000, 25.000, 90.000, 18148.000, 11611.000, 33593.000
70.000, 1.000, 25.000, 100.000, 18122.000, 11466.000, 33619.000
70.000, 1.000, 25.000, 200.000, 17758.000, 10213.000, 33983.000
70.000, 1.000, 25.000, 700.000, 16057.000, 6464.000, 35684.000
70.000, 1.000, 30.000, 1.000, 18218.000, 12214.000, 33523.000
70.000, 1.000, 30.000, 10.000, 18218.000, 12210.000, 33523.000
70.000, 1.000, 30.000, 20.000, 18212.000, 12118.000, 33529.000
70.000, 1.000, 30.000, 30.000, 18206.000, 12012.000, 33535.000
70.000, 1.000, 30.000, 40.000, 18200.000, 11897.000, 33541.000
70.000, 1.000, 30.000, 50.000, 18189.000, 11740.000, 33552.000
70.000, 1.000, 30.000, 60.000, 18175.000, 11571.000, 33566.000
70.000, 1.000, 30.000, 70.000, 18156.000, 11440.000, 33585.000
70.000, 1.000, 30.000, 75.000, 18146.000, 11379.000, 33595.000
70.000, 1.000, 30.000, 80.000, 18132.000, 11294.000, 33609.000
70.000, 1.000, 30.000, 85.000, 18119.000, 11232.000, 33622.000
70.000, 1.000, 30.000, 90.000, 18103.000, 11165.000, 33638.000
70.000, 1.000, 30.000, 100.000, 18077.000, 11031.000, 33664.000
70.000, 1.000, 30.000, 200.000, 17717.000, 9812.000, 34024.000
70.000, 1.000, 30.000, 700.000, 16035.000, 6210.000, 35706.000
70.000, 1.000, 35.000, 1.000, 18177.000, 11741.000, 33564.000
70.000, 1.000, 35.000, 10.000, 18177.000, 11738.000, 33564.000
70.000, 1.000, 35.000, 20.000, 18171.000, 11651.000, 33570.000
70.000, 1.000, 35.000, 30.000, 18165.000, 11552.000, 33576.000
70.000, 1.000, 35.000, 40.000, 18159.000, 11441.000, 33582.000
70.000, 1.000, 35.000, 50.000, 18149.000, 11291.000, 33592.000
70.000, 1.000, 35.000, 60.000, 18135.000, 11128.000, 33606.000
70.000, 1.000, 35.000, 70.000, 18117.000, 11003.000, 33624.000
70.000, 1.000, 35.000, 75.000, 18107.000, 10946.000, 33634.000
70.000, 1.000, 35.000, 80.000, 18093.000, 10867.000, 33648.000
